"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"1","126245912663","Epilepsy Advocate","This four-word epilepsy story shared during the event truly inspires us. Could not make the Epilepsy Foundation of Georgia's Magnolia Run and Walk for Epilepsy, but have an inspirational four-word story? Share here!","2015-08-22T13:44:28+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153658982947664/?type=1","126245912663_10153658982947664",516,18,71
"2","126245912663","Epilepsy Advocate","This team at today's Magnolia Run shows us how important having a team of supporters is: encouragement from loved ones definitely makes living with epilepsy easier. What four-word story do you have for your biggest cheerleaders?","2015-08-22T12:30:57+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153658881302664/?type=1","126245912663_10153658881302664",968,35,181
"3","126245912663","Epilepsy Advocate","UCB and Epilepsy Advocate are supporting the epilepsy community at the Epilepsy Foundation of Georgia's Magnolia Run & Walk in Atlanta right now. Come join us and stop by our booth if you are in the area! Also don't forget to check back later for photos and powerful four-word stories!","2015-08-22T11:17:46+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153658779777664/?type=1","126245912663_10153658779777664",1153,29,216
"4","126245912663","Epilepsy Advocate","Tomorrow, August 22, UCB and Epilepsy Advocate plan to “Seize the Day” at the Epilepsy Foundation of Georgia’s Magnolia Run. Will you be joining us? If so, please stop by our booth and share your four-word story, or share here if you cannot attend the event in person. We’d love to hear your story!","2015-08-21T15:15:03+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153657039327664/?type=1","126245912663_10153657039327664",238,11,33
"5","126245912663","Epilepsy Advocate","Did you know that sleep deprivation can be a #seizure trigger? If you’re feeling tired during the day, you may not be getting enough #sleep, and should have a conversation with your doctor.

Have any tips for falling asleep at night? Share them in the comments!","2015-08-05T14:40:06+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153616511422664/?type=1","126245912663_10153616511422664",866,58,896
"6","126245912663","Epilepsy Advocate","Living each day with a chronic disease, no one knows the importance of timely treatment better than you. By clicking here http://shout.lt/82BW you can write Congress and let them know how making certain new medications available faster can positively impact your life. #Stories2Impact","2015-08-04T16:30:07+0000","link","http://shout.lt/82BX","126245912663_10153614271767664",1923,49,411
"7","126245912663","Epilepsy Advocate","Over the years, Alan’s coaches and bosses have encouraged him to move forward in his epilepsy treatment. One coach told him, ""You've got to be the one to fight it. So pick it up and go,"" says Alan C. That gave him the confidence to fight his epilepsy head on. 

Who encourages you?","2015-08-03T15:40:08+0000","video","http://shout.lt/8WFj","126245912663_10153611790397664",92,3,15
"8","126245912663","Epilepsy Advocate","Being a caregiver has a unique set of challenges. By clicking here, http://shout.lt/8PqC you can write Congress and let them know how making certain new medications available faster can positively impact the lives of you and your loved ones. #Stories2Impact","2015-07-31T16:36:27+0000","link","http://shout.lt/8PqD","126245912663_10153604727942664",1738,38,374
"9","126245912663","Epilepsy Advocate","Have you ever attended a #PurpleDay event? Tell us what it was like and how that event affected you and your approach to epilepsy.

To find events near you, visit PurpleDay.org.","2015-07-31T15:25:06+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153604595672664/?type=1","126245912663_10153604595672664",43,1,16
"10","126245912663","Epilepsy Advocate","Struggling with your relationship with your #caregiver? Maybe a conversation is all that’s needed. Start your conversation with the Caregiver Agreement below. 

How is your relationship with your caregiver?","2015-07-30T13:52:14+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153602111142664/?type=1","126245912663_10153602111142664",127,3,37
"11","126245912663","Epilepsy Advocate","YOU, yes you, can impact the lives of patients and #MakeADifference. Join other patients and caregivers in creating lasting change - support legislation that, if signed into law, would decrease the wait time for certain new medications by months! 

By clicking this link http://bit.ly/FDADEATransparencyBill and joining the #Stories2Impact campaign, you can tell Congress that access to medication  deserves their attention!","2015-07-29T19:41:13+0000","link","http://shout.lt/8G4S","126245912663_10153600464812664",1655,49,408
"12","126245912663","Epilepsy Advocate","Does epilepsy affect how people treat you? Justin remembers his diagnosis in college, and how it shifted the dynamic with his friends. Hear more below.","2015-07-29T14:40:08+0000","video","http://shout.lt/8Fvj","126245912663_10153599879532664",235,42,71
"13","126245912663","Epilepsy Advocate","Currently, certain new medications that require scheduling by the Drug Enforcement Agency take an avg. of 237 days to become available for doctors to prescribe. That’s an average of almost 8 months where patients can’t get access to new drugs to treat symptoms that you or your loved ones may be experiencing. 

Let’s change that! Click this link http://bit.ly/FDADEATransparencyBill to #LendYourStory #Stories2Impact","2015-07-28T16:01:15+0000","link","http://shout.lt/8BlL","126245912663_10153597544142664",46,1,11
"14","126245912663","Epilepsy Advocate","""I didn't know anything about epilepsy until I became a person living with epilepsy,"" says Chris M. He set out to learn as much as he could. 

What do you suggest to people who want to learn more about epilepsy?","2015-07-28T15:30:10+0000","video","http://shout.lt/8Bdl","126245912663_10153597476282664",136,8,39
"15","126245912663","Epilepsy Advocate","A bad fit with your doctor can have real effects on your health. That's what LaKeisha found with her first neurologist. ""There was not a rapport where I felt comfortable enough to go into a lot of things,"" she says, which contributed to a misdiagnosis that lasted two years. 

Hear more from LaKeisha's story below.","2015-07-27T17:52:32+0000","video","http://shout.lt/8t4k","126245912663_10153594097457664",62,2,13
"16","126245912663","Epilepsy Advocate","Over the past two weeks we have shared the personal stories and experiences of several bloggers who committed to raising awareness about stigma associated with #epilepsy. These powerful accounts are reminders of the work that still needs to be done in order to change how society views and understands epilepsy, but they are also a wonderful example of how our community can come together and speak in one voice towards a common goal.

A special thank you to Jessica Keenan Smith and her blog Living Well With Epilepsy for starting the blog relay. We are grateful to have been a small part of it! #epilepsystigma #epilepsyblogrelay","2015-07-20T14:52:40+0000","status",NA,"126245912663_10153577317302664",105,7,22
"17","126245912663","Epilepsy Advocate","#Epilepsy only recently became its own board certification for physicians. 

How do you think this will affect epilepsy treatment?","2015-07-10T15:15:06+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153554844262664/?type=1","126245912663_10153554844262664",462,33,245
"18","126245912663","Epilepsy Advocate","Bryce Rae started Positive Epilepsy to blog about his own insights into how to stay motivated and enjoy living with epilepsy. In his post for the Epilepsy Blog relay, read how he views stigma as an opportunity to speak up and educate others about epilepsy. 

Let us know what you think of his approach to life!

http://www.positiveepilepsy.com/

*UCB does not endorse and is not responsible for this website and its content.","2015-07-09T16:20:03+0000","link","http://shout.lt/7nJv","126245912663_10153552712962664",78,7,19
"19","126245912663","Epilepsy Advocate","Sleep requirements are individual. Finding your optimal #sleep range and making sure you get at least the minimum is key, especially for people with #epilepsy. If you wake up feeling tired, you’re probably not getting enough sleep.

Have any tips for getting better rest? Share them below!","2015-07-08T14:50:07+0000","photo","https://www.facebook.com/epilepsyadvocate/photos/a.10150442556527664.424692.126245912663/10153550587437664/?type=1","126245912663_10153550587437664",246,14,137
"20","126245912663","Epilepsy Advocate","Anne and Dave Giroux’s daughter Lily was diagnosed with epilepsy at two years old. Unsure of what lay ahead for their family, they started Lily’s Fund to support epilepsy research. Lily is now 20 years old and the Fund’s latest event attracted over 700 people and raised $145,000! Learn more about their powerful story in a post they wrote for the Epilepsy Stigma Blog Relay. It’s a great example of what can happen when we “think big”!

What do you find most uplifting about their story?

http://www.lilysfund.org/news/blog-relay-our-search-for-a-cure-is-a-joyful-pursuit/ 

*UCB does not endorse and is not responsible for the following website and its content.","2015-07-07T17:10:07+0000","link","http://shout.lt/7dR3","126245912663_10153548868897664",80,1,14
